category,noise_score
1.0,5.759878419452887
2.0,5.659574468085107
3.0,6.565349544072948
4.0,5.7993920972644375
5.0,6.0703363914373085
6.0,6.036585365853658
7.0,4.527777777777778
8.0,5.812307692307693
9.0,5.271341463414634
10.0,3.9602446483180427
11.0,5.452887537993921
12.0,4.972307692307692
13.0,3.776758409785933
14.0,3.8287461773700304
15.0,4.969230769230769
16.0,3.3738601823708207
17.0,4.27217125382263
18.0,4.521341463414634
19.0,4.592705167173253
20.0,4.114197530864198
21.0,3.3768996960486324
22.0,4.631901840490798
23.0,4.376899696048632
24.0,4.009118541033435
25.0,5.201834862385321
26.0,4.361702127659575
27.0,4.571865443425076
28.0,4.613981762917933
29.0,4.390243902439025
30.0,2.609090909090909
31.0,4.288753799392097
32.0,3.90519877675841
33.0,3.9076923076923076
34.0,4.387195121951219
35.0,3.7103658536585367
36.0,3.8480243161094223
37.0,2.764525993883792
38.0,4.127659574468085
39.0,4.871165644171779
40.0,3.9939209726443767
41.0,5.206686930091186
42.0,2.5410334346504557
43.0,4.097560975609756
44.0,3.0545454545454547
