,leq_mean,leq_var,leq_std,leq_max,leq_10,leq_25,leq_median,leq_75,leq_90,leq_10_90,loudness_mean,loudness_var,loudness_std,loudness_max,loudness_10,loudness_25,loudness_median,loudness_75,loudness_90,loudness_10_90,roughness_mean,roughness_var,roughness_std,roughness_max,roughness_10,roughness_25,roughness_median,roughness_75,roughness_90,roughness_10_90,sharpness_mean,sharpness_var,sharpness_std,sharpness_max,sharpness_10,sharpness_25,sharpness_median,sharpness_75,sharpness_90,sharpness_10_90,fluct_mean,fluct_var,fluct_std,fluct_max,fluct_10,fluct_25,fluct_median,fluct_75,fluct_90,fluct_10_90,tonality_mean,tonality_var,tonality_std,tonality_max,tonality_10,tonality_25,tonality_median,tonality_75,tonality_90,tonality_10_90,声音类别
10,24.73299,8.49291,2.91494,31.41929,20.97061,22.61631,23.98954,27.16155,28.81845,7.84784,0.31713,0.04192,0.20512,1.185,0.1305,0.1665,0.2595,0.405,0.5935,0.463,0.00097,0.00003,0.00526,0.05267,0,0,0,0,0.00012,0.00012,1.9394,0.58636,0.76717,3.98196,1.07419,1.45737,1.89477,2.4191,2.95886,1.88467,0.01363,0.00012,0.01111,0.04321,0.00321,0.00637,0.00879,0.02051,0.03237,0.02916,0.03765,0.00439,0.06637,0.36169,0,0,0.00554,0.04063,0.13349,0.13349,11
11,45.17187,3.49464,1.86983,51.28468,43.09324,43.82901,44.67047,46.43837,47.84175,4.74851,4.18866,0.47999,0.69411,6.612,3.4565,3.725,4.0395,4.4665,5.086,1.6295,1.3811,0.2187,0.46767,2.68369,1.01484,1.07164,1.18505,1.61506,2.13331,1.11847,2.18105,0.03755,0.19413,2.79246,1.93181,2.06101,2.17684,2.30467,2.42052,0.4887,0.01305,0.00007,0.00832,0.03507,0.00673,0.00734,0.01076,0.01502,0.0281,0.02138,0.02568,0.00087,0.02956,0.18682,0,0,0.01905,0.0455,0.06933,0.06933,12
12,64.94156,2.87857,1.69703,68.45996,62.68374,63.83429,64.73209,66.2793,67.42252,4.73878,16.57644,3.00505,1.73675,21.2,14.216,15.474,16.76,17.71,18.71,4.494,2.31078,0.06811,0.26099,2.9799,2.08388,2.14377,2.2548,2.51537,2.65237,0.5685,2.58029,0.02812,0.16799,3.12969,2.34643,2.46198,2.58929,2.71007,2.78656,0.44013,0.02255,0.00069,0.02634,0.10299,0.00383,0.00628,0.00966,0.02661,0.07298,0.06915,0.11096,0.00449,0.06712,0.32962,0.04208,0.06622,0.09489,0.1486,0.21005,0.16796,13
13,49.37364,18.41539,4.29231,58.33376,42.91479,46.22207,49.92778,52.59717,54.89662,11.98182,4.93247,1.69343,1.30375,7.932,3.3025,3.7425,4.884,5.8975,6.8365,3.534,1.12469,0.04473,0.2115,1.51075,0.81338,0.96178,1.17134,1.28299,1.37738,0.564,1.87506,0.04346,0.20887,2.32077,1.6135,1.71551,1.87091,2.0258,2.15643,0.54293,0.02266,0.00039,0.01986,0.09034,0.00906,0.01214,0.01669,0.02126,0.05794,0.04888,0.02726,0.00104,0.03237,0.12294,0,0,0.01639,0.05048,0.07328,0.07328,14
14,56.89366,8.05161,2.83819,62.19676,52.76214,54.76487,57.41508,59.24237,60.45793,7.69579,7.27491,1.26802,1.12817,11.014,5.651,6.499,7.332,8.0515,8.75,3.099,1.39585,0.03102,0.17613,1.67294,1.2039,1.31733,1.42642,1.49901,1.5646,0.3607,1.40081,0.00805,0.08989,1.78657,1.2865,1.34453,1.39688,1.46089,1.51554,0.22903,0.01629,0.00024,0.01553,0.06804,0.00658,0.00813,0.01022,0.01596,0.04512,0.03854,0.02613,0.0012,0.03471,0.15114,0,0,0,0.04663,0.07474,0.07474,15
15,54.65922,0.94195,0.97077,56.99039,53.29959,54.01826,54.64652,55.40257,55.94232,2.64274,8.6601,0.31161,0.55926,10.15,7.8875,8.258,8.712,9.069,9.343,1.4555,1.48158,0.01425,0.1194,1.67689,1.3916,1.43482,1.48958,1.54155,1.58098,0.18938,2.42851,0.01601,0.12675,2.68407,2.23167,2.36417,2.44857,2.52051,2.57607,0.3444,0.01263,0.00041,0.02031,0.07875,0.00274,0.00298,0.00338,0.00672,0.05264,0.0499,0.18909,0.00263,0.05139,0.375,0.12076,0.15506,0.1931,0.21951,0.24908,0.12832,16
16,49.81437,3.7607,1.9397,58.70805,47.82712,48.34885,49.50014,50.78482,52.22021,4.39309,5.53611,0.85856,0.92832,9.639,4.5555,4.844,5.3535,6.009,6.7865,2.231,1.91536,0.0854,0.29223,2.81577,1.58467,1.73361,1.90583,2.07458,2.25945,0.67477,2.01657,0.01031,0.10172,2.4403,1.90035,1.95227,2.00878,2.07269,2.14345,0.2431,0.0205,0.00015,0.01212,0.05192,0.00696,0.01199,0.01793,0.03001,0.03593,0.02898,0.04421,0.00195,0.04424,0.28755,0,0,0.03699,0.06687,0.09561,0.09561,17
17,44.49505,0.35329,0.59452,47.2426,43.76378,44.04341,44.47313,44.85346,45.27238,1.50861,4.26615,0.10115,0.31863,5.955,3.9145,4.025,4.228,4.4655,4.644,0.7295,0.96885,0.01343,0.11589,1.18866,0.87431,0.92458,0.97661,1.02657,1.07123,0.19693,2.99121,0.02476,0.15766,3.30193,2.78827,2.87408,3.01383,3.10129,3.19359,0.40532,0.01408,0.00014,0.01202,0.05298,0.00519,0.00709,0.01081,0.01375,0.03651,0.03132,0.04382,0.00117,0.03433,0.16355,0,0.0184,0.04081,0.06562,0.09191,0.09191,18
18,35.95315,0.19791,0.44497,37.64095,35.42013,35.66677,35.93318,36.20401,36.44394,1.02381,1.92654,0.03032,0.17444,2.454,1.7165,1.793,1.9085,2.0485,2.1755,0.459,0.07998,0.00241,0.04905,0.27103,0.02018,0.04258,0.07657,0.10803,0.13817,0.11799,2.24883,0.03729,0.19347,2.72098,2.01493,2.11363,2.22106,2.39372,2.51925,0.50432,0.01565,0.00008,0.00871,0.04505,0.00985,0.01027,0.01428,0.0167,0.02917,0.01932,0.05203,0.00187,0.04328,0.17002,0,0.01337,0.04926,0.08117,0.11713,0.11713,19
19,53.0428,1.10493,1.0514,55.27991,51.74496,52.12235,53.16376,53.84929,54.47166,2.7267,7.71438,0.38519,0.6218,9.329,6.8745,7.2545,7.707,8.136,8.5395,1.665,1.10369,0.01156,0.10754,1.23682,1.048,1.07811,1.11554,1.14689,1.18023,0.13223,3.42131,0.0245,0.15681,3.74599,3.1926,3.34277,3.44859,3.53463,3.59547,0.40286,0.0137,0.00023,0.01506,0.06244,0.00544,0.00624,0.00708,0.01186,0.04234,0.0369,0.13582,0.00376,0.06143,0.31098,0.05384,0.09552,0.1285,0.17507,0.22147,0.16763,20
