,leq_mean,leq_var,leq_std,leq_max,leq_10,leq_25,leq_median,leq_75,leq_90,leq_10_90,loudness_mean,loudness_var,loudness_std,loudness_max,loudness_10,loudness_25,loudness_median,loudness_75,loudness_90,loudness_10_90,roughness_mean,roughness_var,roughness_std,roughness_max,roughness_10,roughness_25,roughness_median,roughness_75,roughness_90,roughness_10_90,sharpness_mean,sharpness_var,sharpness_std,sharpness_max,sharpness_10,sharpness_25,sharpness_median,sharpness_75,sharpness_90,sharpness_10_90,fluct_mean,fluct_var,fluct_std,fluct_max,fluct_10,fluct_25,fluct_median,fluct_75,fluct_90,fluct_10_90,tonality_mean,tonality_var,tonality_std,tonality_max,tonality_10,tonality_25,tonality_median,tonality_75,tonality_90,tonality_10_90,声音类别
10,21.15463,4.04844,2.01254,28.74219,19.33542,19.76335,20.60803,21.65144,23.94116,4.60574,0.16559,0.02025,0.14258,0.866,0.061,0.084,0.123,0.191,0.286,0.225,0.00044,0.00001,0.00271,0.03357,0,0,0,0,0.00005,0.00005,2.0825,2.9976,1.73458,5.062,0,0,2.49836,3.62493,4.31091,4.31091,0.00965,0.0001,0.01003,0.0424,0.00302,0.00374,0.0056,0.00847,0.026,0.02298,0.0288,0.0043,0.06573,0.36932,0,0,0,0.02128,0.09487,0.09487,11
11,43.89594,1.83526,1.35503,48.99096,42.54467,42.96274,43.71902,44.64976,45.64822,3.10355,3.75374,0.211,0.46021,5.393,3.191,3.429,3.723,4.057,4.349,1.158,1.07898,0.01262,0.11233,1.49334,0.95036,0.99193,1.07212,1.14106,1.21049,0.26013,2.19285,0.04614,0.2152,2.8329,1.95377,2.02806,2.16349,2.32537,2.51653,0.56276,0.01128,0.00002,0.00432,0.02132,0.0057,0.00741,0.01135,0.01348,0.01735,0.01165,0.02686,0.00092,0.03042,0.14139,0,0,0.02051,0.04395,0.07064,0.07064,12
12,62.21864,15.80099,3.97597,67.09071,54.61605,59.49987,64.10677,65.19738,65.79116,11.17511,13.15841,7.90167,2.81623,18.2,8.4445,11.007,13.94,15.267,16.28,7.8355,2.29681,0.1113,0.33363,3.09471,1.76655,2.0351,2.40448,2.55571,2.63631,0.86976,2.36811,0.02895,0.17045,3.00479,2.15938,2.25146,2.36267,2.46971,2.60324,0.44386,0.01149,0.00001,0.00269,0.01545,0.00777,0.01018,0.01183,0.01337,0.01485,0.00708,0.05669,0.00162,0.04038,0.23533,0,0.02964,0.05327,0.07592,0.10351,0.10351,13
13,46.18594,13.82828,3.7195,56.91369,41.6678,43.45456,45.65464,48.55883,50.95755,9.28975,4.09312,0.77115,0.87979,7.662,3.0285,3.529,4.014,4.516,5.2355,2.207,0.98819,0.0237,0.15396,1.32028,0.7242,0.91668,1.02184,1.07382,1.15346,0.42925,2.00373,0.07722,0.2784,2.57326,1.61191,1.81354,2.02621,2.22415,2.3301,0.7182,0.00881,0.00002,0.00436,0.01859,0.00419,0.00467,0.00774,0.01146,0.01618,0.01199,0.02635,0.00108,0.03296,0.14522,0,0,0.00779,0.04636,0.07677,0.07677,14
14,58.28326,2.24678,1.49928,61.24435,56.49918,57.36295,58.31773,59.49471,60.12062,3.62144,7.91069,0.62096,0.78948,10.808,6.8625,7.462,7.984,8.427,8.859,1.9965,1.48128,0.00745,0.0863,1.74891,1.38846,1.43369,1.48541,1.53619,1.57463,0.18617,1.34383,0.00518,0.07207,1.55139,1.24989,1.2922,1.33932,1.38545,1.44326,0.19336,0.00591,0,0.00178,0.0103,0.0038,0.00447,0.00556,0.00714,0.00858,0.00478,0.02405,0.00087,0.02955,0.1647,0,0,0.00758,0.04676,0.06863,0.06863,15
15,52.48485,1.01096,1.0057,55.08766,51.13961,51.77161,52.54423,52.9954,54.10585,2.96623,7.54664,0.19392,0.44118,8.733,6.926,7.272,7.562,7.801,8.077,1.151,1.41643,0.00302,0.05496,1.54276,1.34376,1.37053,1.42071,1.45654,1.49166,0.14791,2.31066,0.01468,0.1214,2.64705,2.17624,2.22127,2.28686,2.38082,2.49437,0.31813,0.00264,0,0.00077,0.00436,0.00188,0.00199,0.00228,0.00321,0.00392,0.00204,0.13505,0.00232,0.04825,0.30452,0.07841,0.09807,0.12921,0.16534,0.19575,0.11734,16
16,48.65341,1.08689,1.04278,52.31799,47.36525,47.90931,48.55009,49.28148,50.06268,2.69742,5.26543,0.47909,0.69345,7.392,4.424,4.771,5.179,5.666,6.3375,1.9135,1.90759,0.04971,0.22297,2.64473,1.64399,1.74468,1.88235,2.03242,2.2223,0.57831,2.03617,0.01,0.10017,2.68801,1.91466,1.97422,2.02063,2.09991,2.15286,0.2382,0.01158,0.00001,0.00323,0.02017,0.00813,0.00917,0.01086,0.01307,0.01675,0.00863,0.03704,0.00133,0.03653,0.18051,0,0,0.03493,0.05437,0.08861,0.08861,17
17,44.77083,0.71037,0.84303,49.90294,43.87576,44.23545,44.67977,45.15724,45.6249,1.74914,4.30925,0.16843,0.41117,6.69,3.8325,4.051,4.252,4.497,4.724,0.8915,1.05543,0.05433,0.23311,2.88155,0.89173,0.94542,1.02494,1.09966,1.18382,0.29209,3.00032,0.02364,0.15403,3.42748,2.79875,2.894,2.99566,3.09883,3.19596,0.39721,0.01111,0.00001,0.00319,0.01672,0.00642,0.00845,0.01113,0.0137,0.01549,0.00907,0.05422,0.00162,0.04038,0.19751,0,0.02256,0.05305,0.08156,0.10423,0.10423,18
18,36.37897,0.64042,0.80045,42.56873,35.65095,35.95288,36.27967,36.62402,36.98645,1.3355,1.97756,0.04563,0.21402,3.645,1.757,1.832,1.96,2.08,2.193,0.436,0.14983,0.00811,0.09004,0.63124,0.05956,0.09639,0.13356,0.18449,0.24214,0.18259,2.19103,0.02729,0.16549,2.69366,1.98452,2.06736,2.18705,2.30791,2.42098,0.43646,0.0107,0.00004,0.00601,0.02045,0.00315,0.00409,0.01118,0.01595,0.01864,0.01549,0.04585,0.00166,0.04078,0.17515,0,0,0.04228,0.07007,0.10311,0.10311,19
19,52.27946,1.76166,1.32759,54.94351,50.63687,51.13641,52.04685,53.56397,54.12933,3.49246,7.17859,0.48368,0.69677,8.956,6.328,6.629,7.113,7.564,8.1595,1.8315,1.08106,0.00435,0.06597,1.27306,0.9863,1.04092,1.07945,1.12906,1.16337,0.17707,3.4736,0.03368,0.18385,3.98244,3.24741,3.34623,3.46513,3.59669,3.72215,0.47474,0.00745,0,0.00135,0.00963,0.00583,0.00627,0.00761,0.00859,0.00923,0.00341,0.11932,0.00404,0.06367,0.28081,0.02923,0.0722,0.11733,0.16477,0.20457,0.17535,20
20,35.96165,0.06232,0.2497,36.76283,35.64919,35.8003,35.9538,36.10881,36.29613,0.64695,1.54137,0.00425,0.06533,1.724,1.459,1.503,1.538,1.58,1.627,0.168,0.07296,0.00007,0.00835,0.09963,0.0628,0.06671,0.0723,0.07848,0.08408,0.02128,3.60334,0.01104,0.10529,3.87402,3.47311,3.52722,3.60151,3.67241,3.7459,0.2728,0.00075,0,0.00024,0.00154,0.00054,0.00061,0.00069,0.00078,0.00106,0.00052,0.02334,0.00079,0.0282,0.12071,0,0,0.01421,0.03766,0.06679,0.06679,21
21,37.16639,10.55858,3.25015,52.85697,34.39984,35.12848,36.57052,38.01216,39.70525,5.3054,1.95216,0.65479,0.8107,8.507,1.4275,1.574,1.791,2.043,2.4075,0.98,0.24331,0.06104,0.24707,1.36501,0.04336,0.08839,0.17498,0.30945,0.45709,0.41373,1.67873,0.04184,0.20494,2.40641,1.46051,1.53457,1.63786,1.79462,1.97158,0.51107,0.01069,0.00009,0.00923,0.03993,0.0036,0.00484,0.00805,0.00943,0.02679,0.02319,0.04691,0.0023,0.04807,0.26918,0,0,0.03813,0.07903,0.11147,0.11147,22
