id,file_name,place,create_time,Leq,Pctn,陶模型判定,新模型输出,抽样,
945,Record86896,M01,2021/11/8 14:14:41,50.8343,0.32611,3,5.27134,73,3
946,Record86897,M01,2021/11/8 14:16:41,53.4724,0.510644,3,4.27217,74,4
948,Record86899,M01,2021/11/8 14:20:42,53.184,0.446427,3,2.76453,75,5
949,Record86900,M01,2021/11/8 14:22:41,50.2588,0.413252,3,4.39024,76,6
950,Record86901,M01,2021/11/8 14:24:42,50.4632,0.393549,3,5.45289,77,7
951,Record86902,M01,2021/11/8 14:26:41,52.9155,0.485818,3,2.76453,78,8
953,Record86904,M01,2021/11/8 14:30:41,50.9793,0.43217,3,2.60909,79,9
955,Record86906,M01,2021/11/8 14:34:41,50.1944,0.384847,3,5.60246,80,0
956,Record86907,M01,2021/11/8 14:36:41,51.9114,0.355913,3,4.17213,81,1
957,Record86908,M01,2021/11/8 14:38:41,51.4877,0.399784,3,4.00912,82,2
959,Record86910,M01,2021/11/8 14:42:41,51.9744,0.291659,3,4.17213,83,3
960,Record86911,M01,2021/11/8 14:44:42,52.0492,0.27768,3,5.27134,84,4
961,Record86912,M01,2021/11/8 14:46:41,50.5079,0.243064,3,3.9052,85,5
962,Record86913,M01,2021/11/8 14:48:41,52.0609,0.324376,3,2.76453,86,6
964,Record86915,M01,2021/11/8 14:52:41,54.0073,0.362982,3,4.17213,87,7
965,Record86916,M01,2021/11/8 14:54:42,53.7449,0.280892,3,4.17213,88,8
966,Record86918,M01,2021/11/8 14:58:41,52.6245,0.375676,3,4.31967,89,9
972,Record86924,M01,2021/11/8 15:10:41,50.3646,0.341298,3,4.00912,90,0
973,Record86925,M01,2021/11/8 15:12:41,52.4721,0.345414,3,5.27134,91,1
974,Record86926,M01,2021/11/8 15:14:42,50.8302,0.214967,3,4.87117,92,2
976,Record86928,M01,2021/11/8 15:18:41,51.3908,0.470736,3,4.00912,93,3
977,Record86929,M01,2021/11/8 15:20:41,50.5958,0.269154,3,5.27134,94,4
979,Record86932,M01,2021/11/8 15:26:42,53.784,0.22526,3,4.87117,95,5
980,Record86933,M01,2021/11/8 15:28:41,50.9779,0.284276,3,4.17213,96,6
981,Record86934,M01,2021/11/8 15:30:41,50.108,0.340251,3,4.17213,97,7
982,Record86935,M01,2021/11/8 15:32:44,52.2949,0.361489,3,4.17213,98,8
984,Record86937,M01,2021/11/8 15:36:41,51.0668,0.283637,3,5.27134,99,9
985,Record86938,M01,2021/11/8 15:38:41,50.7107,0.357417,3,5.27134,100,0
986,Record86939,M01,2021/11/8 15:40:42,50.7127,0.170405,3,3.9052,101,1
992,Record86946,M01,2021/11/8 15:54:42,55.4216,0.299155,3,2.76453,102,2
994,Record86948,M01,2021/11/8 15:58:41,53.2661,0.266934,3,4.17213,103,3
995,Record86949,M01,2021/11/8 16:00:42,51.2052,0.205903,3,5.27134,104,4
997,Record86951,M01,2021/11/8 16:04:43,52.0095,0.200619,3,4.6319,105,5
1000,Record86954,M01,2021/11/8 16:10:42,51.5801,0.363365,3,4.00912,106,6
1004,Record86959,M01,2021/11/8 16:20:43,50.71,0.283758,3,4.17213,107,7
