,leq_mean,leq_var,leq_std,leq_max,leq_10,leq_25,leq_median,leq_75,leq_90,leq_10_90,loudness_mean,loudness_var,loudness_std,loudness_max,loudness_10,loudness_25,loudness_median,loudness_75,loudness_90,loudness_10_90,roughness_mean,roughness_var,roughness_std,roughness_max,roughness_10,roughness_25,roughness_median,roughness_75,roughness_90,roughness_10_90,sharpness_mean,sharpness_var,sharpness_std,sharpness_max,sharpness_10,sharpness_25,sharpness_median,sharpness_75,sharpness_90,sharpness_10_90,fluct_mean,fluct_var,fluct_std,fluct_max,fluct_10,fluct_25,fluct_median,fluct_75,fluct_90,fluct_10_90,tonality_mean,tonality_var,tonality_std,tonality_max,tonality_10,tonality_25,tonality_median,tonality_75,tonality_90,tonality_10_90,声音内容
0,50.63417,8.70019,2.94974,57.096,45.83626,49.14633,51.37197,52.64165,53.9281,8.09185,5.46791,1.52195,1.23411,10.191,3.86,4.657,5.367,6.156,7.0895,3.2295,1.17636,0.04358,0.20876,1.9249,0.93313,1.03009,1.15665,1.31161,1.45459,0.52146,1.83609,0.16546,0.40692,3.20492,1.35103,1.51965,1.77903,2.09207,2.43052,1.07949,0.02087,0.00009,0.00934,0.054,0.01038,0.01433,0.01957,0.02725,0.0324,0.02202,0.06222,0.00248,0.04981,0.35822,0.00713,0.01933,0.05526,0.0924,0.13154,0.12441,鸟声
1,50.94365,11.50344,3.39182,64.06982,46.77978,48.11526,50.77719,53.33884,55.32514,8.54536,6.12888,1.85652,1.36303,18.34,4.682,5.168,5.917,6.814,7.7655,3.0835,1.37169,0.043,0.20737,3.10042,1.17736,1.24337,1.33581,1.46341,1.60054,0.42318,2.16783,0.08018,0.28326,3.5294,1.8092,1.96815,2.14921,2.33776,2.52766,0.71846,0.02452,0.00013,0.01155,0.05685,0.01036,0.01639,0.02293,0.03076,0.0406,0.03023,0.05123,0.00184,0.04295,0.2244,0,0.01637,0.04387,0.07651,0.1113,0.1113,鸟声
2,50.85084,10.5224,3.24397,68.29389,46.8656,48.29419,50.73949,52.97739,54.72705,7.86146,5.99729,1.39823,1.18289,18.26,4.6675,5.152,5.897,6.654,7.2815,2.614,1.24952,0.02826,0.1681,1.93383,1.10705,1.15097,1.21622,1.2986,1.48174,0.37468,2.09702,0.09199,0.30341,4.65296,1.67005,1.88189,2.12269,2.28991,2.45377,0.78372,0.0207,0.00015,0.01245,0.06809,0.0097,0.01279,0.01804,0.02376,0.0357,0.026,0.05709,0.00211,0.04601,0.3445,0,0.02357,0.05071,0.08452,0.11957,0.11957,鸟声
3,50.9957,12.31293,3.50913,62.90363,46.38656,48.40579,50.84391,53.24811,55.53384,9.14728,5.77681,1.72239,1.31286,11.707,4.2555,4.813,5.579,6.527,7.457,3.2015,1.23112,0.02118,0.14555,1.96006,1.07856,1.14345,1.20915,1.30794,1.40667,0.32812,2.39555,0.1349,0.36741,3.85209,2.00405,2.1233,2.31719,2.60117,2.92744,0.92339,0.03031,0.0002,0.01412,0.06642,0.01463,0.01962,0.02672,0.04203,0.05139,0.03676,0.05847,0.00345,0.05872,0.42289,0,0.01595,0.04667,0.08187,0.12635,0.12635,鸟声
4,51.29564,23.79981,4.87872,74.65911,46.52824,47.69995,49.73601,53.90778,59.06641,12.53817,5.76751,3.5361,1.88112,22.53,3.9275,4.404,5.261,6.911,8.257,4.3295,1.23565,0.07923,0.28148,3.27682,0.98503,1.0805,1.18796,1.35935,1.49362,0.50859,1.64968,0.19414,0.44077,4.61042,1.20758,1.35073,1.52051,1.87269,2.2967,1.08912,0.03234,0.00031,0.0177,0.10155,0.01214,0.01986,0.03039,0.04094,0.05322,0.04109,0.06226,0.00314,0.05607,0.35077,0,0.01586,0.05141,0.09691,0.14249,0.14249,鸟声
5,54.47055,58.87804,7.67354,72.668,45.17735,47.6726,52.45025,61.71456,64.89858,19.72123,6.98979,9.67018,3.1108,19.8,3.728,4.329,5.957,9.219,11.514,7.786,1.20433,0.05337,0.23101,1.93169,0.93609,1.02215,1.1831,1.36654,1.50834,0.57225,1.47353,0.1244,0.35282,3.1243,1.04822,1.21174,1.4457,1.65558,1.93682,0.88861,0.02056,0.00012,0.01091,0.05317,0.00947,0.0122,0.01795,0.02682,0.03737,0.02789,0.08339,0.00456,0.06756,0.36695,0,0.02866,0.07292,0.12811,0.17685,0.17685,鸟声
