name,leq_mean,leq_var,leq_std,leq_max,leq_10,leq_25,leq_median,leq_75,leq_90,leq_10-leq_90,loudness_mean,loudness_var,loudness_std,loudness_max,loudness_10,loudness_25,loudness_median,loudness_75,loudness_90,loudness_10-loudness_90,roughness_mean,roughness_var,roughness_std,roughness_max,roughness_10,roughness_25,roughness_median,roughness_75,roughness_90,roughness_10-roughness_90,sharpness_mean,sharpness_var,sharpness_std,sharpness_max,sharpness_10,sharpness_25,sharpness_median,sharpness_75,sharpness_90,sharpness_10-sharpness_90,fluct_mean,fluct_var,fluct_std,fluct_max,fluct_10,fluct_25,fluct_median,fluct_75,fluct_90,fluct_10-fluct_90,tonality_mean,tonality_var,tonality_std,tonality_max,tonality_10,tonality_25,tonality_median,tonality_75,tonality_90,tonality_10-tonality_90
Record89564.xls,50.308887,9.804169857,3.131300288,61.79579544,46.52840614,47.65470505,50.09850311,52.41204834,54.42854309,7.900136948,5.370427049,1.751421665,1.323884102,11.65699959,4.045000076,4.394999981,5.116000175,5.910999775,7.018499851,2.973499775,1.193066092,0.040451201,0.201126375,1.811917067,0.984549582,1.027884483,1.144149721,1.344122648,1.483974993,0.499425411,1.573411871,0.03529831,0.187945341,2.692867517,1.382158279,1.462499022,1.538912058,1.644829154,1.766756594,0.384598315,0.016295605,0.000354557,0.018832411,0.079048395,0.003608353,0.004609665,0.008215574,0.018763892,0.047941228,0.044332876,0.046901815,0.002217104,0.047102901,0.337910384,0,0,0.039528541,0.073366471,0.106594104,0.106594104
Record89574.xls,52.32362761,28.37260197,5.326830618,70.680336,46.62041855,47.92335892,51.24429321,55.34069824,60.15428925,13.5338707,6.207529535,8.072963541,2.84230778,29.62000084,4.055500031,4.396999836,5.21999979,6.985000134,9.460000038,5.404500008,1.253097212,0.183658753,0.428557529,3.613735437,0.978019923,1.028738976,1.101594508,1.258244097,1.728516102,0.750496179,1.928784115,0.090512674,0.300960366,3.411694765,1.622496665,1.713061452,1.863213658,2.054310322,2.330515027,0.708018363,0.051044808,0.003799167,0.061646345,0.382701755,0.013140188,0.0203062,0.03183097,0.05384233,0.088676631,0.075536444,0.060848805,0.004096106,0.064023618,0.533195376,0,0.016023191,0.045887753,0.082884125,0.14394509,0.14394509
Record89581.xls,50.6785086,2.671735859,1.6346172,57.02912521,48.77075958,49.51602936,50.37731171,51.68283081,52.94568062,4.174921036,5.664030604,0.52632957,0.725744066,10.1590004,4.853000164,5.176000118,5.532999992,6.039999962,6.618999958,1.765999794,1.231791368,0.014762862,0.121503447,1.598706126,1.10385555,1.146762013,1.224733174,1.303977191,1.383869708,0.280014157,1.639958569,0.01920547,0.138633145,2.112329006,1.475405812,1.535369158,1.618343353,1.726011395,1.835832596,0.360426784,0.006929588,0.000106022,0.010298212,0.072199613,0.0019993,0.002489976,0.003682583,0.005614092,0.016054383,0.014055082,0.035296421,0.001531185,0.039144295,0.188434973,0,0,0.02465485,0.060565561,0.092213459,0.092213459
Record89625.xls,50.5207735,0.320238646,0.565921475,52.23441315,49.81266975,50.12444687,50.48143005,50.89020538,51.29162979,1.478960037,5.206874729,0.089802613,0.299777542,6.328999996,4.842000008,4.995999813,5.190000057,5.392000198,5.605500221,0.763500214,1.13862701,0.006009351,0.077520594,1.332386613,1.056942463,1.097571492,1.138423622,1.181723237,1.223269105,0.166326642,1.499281172,0.011351268,0.106580266,1.969045043,1.378887951,1.428757787,1.483511925,1.548121691,1.632759571,0.25387162,0.004281914,8.78E-05,0.009371143,0.070879884,0.001994088,0.002170323,0.002458557,0.00272983,0.003333298,0.00133921,0.059182467,0.002400949,0.04901693,0.226798743,0,0,0.060385793,0.093173236,0.124067143,0.124067143
Record89944.xls,52.95122964,33.8543168,5.818704891,69.10598755,46.25685692,47.87544632,51.98190308,57.29193497,61.43757439,15.18071747,6.819536643,6.094875669,2.469659237,18.63999939,4.383500099,4.949999809,6.105999947,8.026000023,10.10199976,5.71849966,1.520654362,0.088803003,0.298000602,2.888850927,1.218995273,1.305989444,1.459913313,1.659141302,1.896201134,0.677205861,1.740419918,0.10571544,0.325254879,3.090476274,1.340684772,1.499027848,1.71120882,1.925043225,2.138579965,0.797895193,0.016893557,0.000252789,0.015901659,0.111246467,0.008055441,0.009687577,0.013436051,0.016421292,0.022358082,0.014302641,0.054332286,0.00224264,0.047373381,0.267089188,0,0.012733661,0.047715329,0.08344727,0.120429531,0.120429531
Record89945.xls,54.9083169,29.82545326,5.461511227,69.82300568,46.77939987,51.12952423,55.68182755,59.01964188,61.04580116,14.26640129,7.04234733,4.028321114,2.00778243,16.40999985,4.55099988,5.506000042,6.955999851,8.277999878,9.42800045,4.87700057,1.34386073,0.061428435,0.247849495,2.411911011,1.074874818,1.13972193,1.339853108,1.492483735,1.64913255,0.574257731,1.544454364,0.09027407,0.300563417,2.663950205,1.200885773,1.317178249,1.491022468,1.714694262,1.966562271,0.765676498,0.014738768,9.45E-05,0.009724168,0.053325977,0.007417417,0.009097204,0.011200467,0.016516654,0.028778213,0.021360796,0.097795172,0.004350025,0.065978205,0.34204334,0,0.046687532,0.093536712,0.145472899,0.18529585,0.18529585
Record89948.xls,50.95726614,3.651359847,1.910938113,57.77611542,48.34640312,49.5607338,50.99650192,52.31175995,53.34517288,4.99876976,5.926272593,0.765359107,0.875159548,11.07900047,4.906500101,5.290999889,5.789000034,6.410999775,7.183500051,2.27699995,1.280686444,0.021523141,0.146708793,1.849436522,1.131511211,1.181569755,1.263581574,1.370499313,1.46405977,0.332548559,1.811995746,0.092384906,0.304057079,3.050729036,1.465183258,1.573699474,1.754276752,2.011458397,2.255033612,0.789850354,0.014249761,5.56E-05,0.007455256,0.058030058,0.009190025,0.010660262,0.012588508,0.014885685,0.020459667,0.011269642,0.055008541,0.002132168,0.046191843,0.264300883,0,0.014954041,0.051666673,0.084244557,0.115618274,0.115618274
Record89951.xls,61.25096305,13.08900048,3.618033189,72.32498169,56.79203987,58.3910141,61.04195786,63.94246674,66.14901733,9.356977463,9.792379373,4.889601981,2.212031782,20.04000092,7.362499952,8.11400032,9.442000389,11.03299999,12.78649998,5.424000025,1.665219499,0.056708208,0.238136669,2.360248089,1.389680266,1.48137331,1.649379909,1.822411835,1.977718472,0.588038206,1.285966569,0.044067808,0.209998084,2.884701729,1.115554154,1.163939238,1.230705261,1.341713786,1.490574241,0.375020087,0.015295866,0.000149842,0.012242758,0.092433348,0.007573628,0.009120896,0.01232132,0.016374258,0.025378962,0.017805334,0.108673893,0.004625878,0.068038026,0.326353937,0,0.059315976,0.105167441,0.155089155,0.201166227,0.201166227
Record89997.xls,50.30498437,13.15651335,3.627352069,58.96759033,46.55021286,47.45064926,48.91570282,53.73643112,55.8580513,9.30783844,6.505558005,3.981120462,1.995984974,11.98200035,4.392500162,5.092000008,5.71600008,8.447999954,9.661999702,5.26949954,1.20156411,0.029833981,0.172726479,1.791728377,1.049054742,1.086148381,1.146734953,1.281322896,1.499836624,0.450781882,2.22996436,0.157776232,0.397351995,3.205867052,1.588484824,2.047179937,2.202430487,2.46290946,2.806138992,1.217654169,0.009347974,5.84E-05,0.00764149,0.062121831,0.00445218,0.005925204,0.00792311,0.009975384,0.013597765,0.009145585,0.137812816,0.005586268,0.074767954,0.366068691,0.041039718,0.087213859,0.133422911,0.187089413,0.240262896,0.199223178
Record89999.xls,50.18681068,9.155066831,3.025868596,56.98368835,45.39331627,48.50055313,50.44618607,52.10211563,54.31327629,8.919960022,5.980345904,2.039079702,1.428471924,10.44900036,3.921000004,5.198999882,5.914999962,6.725999832,8.130000114,4.209000111,1.2357845,0.021873817,0.147899122,1.63128674,1.060965538,1.156190813,1.225918531,1.332350969,1.428097188,0.36713165,1.814861045,0.026847883,0.163911577,2.565847397,1.587141812,1.722420454,1.819747686,1.909045935,2.017117381,0.429975569,0.005055077,5.21E-05,0.007219873,0.058004405,0.002347505,0.002909156,0.003408173,0.004758979,0.005778773,0.003431267,0.120352404,0.004843659,0.069621183,0.410687417,0.003521001,0.072379842,0.125085771,0.16828312,0.206130877,0.202609877
Record90000.xls,51.90556852,87.70838283,9.365691673,66.48556519,43.39842415,44.05949402,45.65087891,63.69332504,64.47346497,21.07504082,8.339631302,36.58737095,6.050903266,19.59000015,3.262000084,3.492000103,3.99000001,15.84599972,16.86000061,13.59800053,1.285678317,0.320390284,0.566034605,2.838260889,0.881220907,0.930850148,1.004621387,1.518070996,2.243397713,1.362176806,1.985773429,0.260725088,0.510794273,2.954527617,1.47584182,1.540644765,1.698301673,2.587484598,2.698265076,1.222423255,0.008747318,0.000146337,0.012098747,0.064782135,0.003052784,0.003682948,0.005039863,0.006777221,0.016843299,0.013790515,0.095989729,0.007642591,0.087453043,0.461125344,0,0.01945526,0.074494705,0.155633718,0.218266748,0.218266748
Record90012.xls,53.49494,32.95326976,5.740749033,68.8997345,47.00797462,49.11646271,51.38107681,58.50764084,62.13716125,15.12918663,7.200158012,7.907646252,2.813055008,18.79000092,4.393000126,5.092999935,6.024000168,9.319000244,11.56799984,7.174999714,1.45953395,0.080385003,0.283524655,2.351788044,1.138793707,1.215413451,1.425547957,1.68831569,1.857692778,0.718899071,1.576348994,0.045500849,0.213385232,3.152727365,1.384643435,1.443605542,1.522203803,1.644237518,1.831525385,0.44688195,0.009975897,8.60E-05,0.009272403,0.068598375,0.002983758,0.004850541,0.007164523,0.012641657,0.016558939,0.013575181,0.061923859,0.002622469,0.051228277,0.252203763,0,0.017521029,0.05826889,0.095448941,0.133909076,0.133909076
