order,leq_mean,leq_var,leq_std,leq_max,leq_10,leq_25,leq_median,leq_75,leq_90,leq_10-leq_90,loudness_mean,loudness_var,loudness_std,loudness_max,loudness_10,loudness_25,loudness_median,loudness_75,loudness_90,loudness_10-loudness_90,roughness_mean,roughness_var,roughness_std,roughness_max,roughness_10,roughness_25,roughness_median,roughness_75,roughness_90,roughness_10-roughness_90,sharpness_mean,sharpness_var,sharpness_std,sharpness_max,sharpness_10,sharpness_25,sharpness_median,sharpness_75,sharpness_90,sharpness_10-sharpness_90,fluct_mean,fluct_var,fluct_std,fluct_max,fluct_10,fluct_25,fluct_median,fluct_75,fluct_90,fluct_10-fluct_90,tonality_mean,tonality_var,tonality_std,tonality_max,tonality_10,tonality_25,tonality_median,tonality_75,tonality_90,tonality_10-tonality_90,score
57,61.08157,12.01145,3.46711,79.48623,59.12149,59.46052,59.92391,61.3603,63.06183,3.94034,13.846,20.00663,4.50183,46.09,11.99,12.179,12.6455,13.779,16.535,4.545,1.97457,0.08656,0.29422,3.3456,1.78708,1.85561,1.92495,2.03458,2.1899,0.40282,2.57878,0.1309,0.36415,4.74268,2.39047,2.4332,2.48053,2.57581,2.79768,0.40721,0.02876,0.0004,0.01993,0.07766,0.00375,0.00974,0.03108,0.03926,0.0608,0.05705,0.022,0.00078,0.02819,0.09189,0,0,0,0.04182,0.06398,0.06398,4.11475
58,63.05752,11.18515,3.34509,76.37482,59.59938,60.63231,62.43958,64.76396,66.70266,7.10327,15.76226,16.93226,4.14187,36.82,12.453,13.22,14.107,17.69,19.35,6.897,2.71927,0.8481,0.92097,6.48451,1.97463,2.12994,2.43011,3.02258,3.8168,1.84217,2.92146,0.09477,0.30987,4.04986,2.61132,2.66847,2.86843,3.03586,3.30908,0.69776,0.03712,0.0006,0.02446,0.09425,0.01599,0.01712,0.02945,0.05562,0.07288,0.05689,0.00741,0.00027,0.01648,0.096,0,0,0,0,0.02783,0.02783,5.56557
59,61.94337,7.96843,2.82341,71.05284,59.53987,60.02534,61.1636,62.59608,66.98178,7.44191,13.98687,8.87846,2.99921,25,11.232,12.041,13.225,14.755,18.65,7.418,1.9966,0.08033,0.28344,2.66649,1.78663,1.85792,1.94638,2.12815,2.40661,0.61998,2.40929,0.09766,0.31455,3.46125,2.05655,2.18963,2.36629,2.55469,2.79195,0.7354,0.02877,0.00052,0.02272,0.09278,0.00931,0.01159,0.02206,0.03987,0.06923,0.05992,0.01289,0.00045,0.02144,0.07378,0,0,0,0.02225,0.05055,0.05055,4.72131
60,62.29925,0.7129,0.84458,64.37614,61.35281,61.67109,62.29293,62.92896,63.42271,2.0699,14.53466,0.45871,0.67887,16.53,13.6405,14.076,14.4765,14.977,15.375,1.7345,1.93222,0.02404,0.15504,2.17732,1.81368,1.86711,1.94132,2.01083,2.0745,0.26082,2.73467,0.00785,0.0888,2.93252,2.62655,2.66955,2.73337,2.80241,2.85346,0.22691,0.0186,0.00074,0.02731,0.09739,0.00339,0.0038,0.00435,0.01772,0.07453,0.07114,0.1809,0.00235,0.04864,0.40876,0.11819,0.14812,0.18005,0.20794,0.23861,0.12042,3.7541
61,60.99704,20.39384,4.51686,72.85497,54.98507,57.41722,60.77205,64.09474,67.3805,12.39543,10.69509,19.65318,4.46226,26.57,6.686,7.559,9.23,12.598,18.135,11.449,2.61602,0.57238,0.7566,4.94349,1.70258,2.07449,2.58516,3.06947,3.62478,1.9222,1.94206,0.05183,0.22916,2.61396,1.72007,1.76997,1.88144,2.07997,2.3007,0.58062,0.30675,0.02766,0.16647,0.57198,0.06052,0.15497,0.35345,0.40791,0.5356,0.47508,0.00176,0.00003,0.00572,0.0295,0,0,0,0,0.00381,0.00381,4.69672
62,50.15022,140.27015,11.84594,77.74513,38.33691,39.94797,44.9161,60.11117,68.43179,30.09488,7.04601,58.27933,7.68415,41.62,2.4185,2.787,3.532,9.101,13.539,11.1205,1.42363,1.88067,1.37144,5.85323,0.25753,0.44591,0.9797,1.95578,3.6038,3.34628,2.59511,0.20525,0.45601,4.14981,2.21081,2.33954,2.48757,2.70144,3.09471,0.8839,0.09235,0.01268,0.1127,0.53954,0.0161,0.03201,0.05083,0.10449,0.21599,0.1999,0.00859,0.00058,0.02422,0.13953,0,0,0,0,0.03129,0.03129,3.43852
63,57.56332,16.38384,4.04851,68.06966,52.07839,54.91052,56.68385,60.41969,63.46041,11.38202,9.88597,4.78861,2.20264,18.3,7.619,8.582,9.343,10.709,12.585,4.966,1.64554,0.14797,0.38469,2.9872,1.38338,1.44267,1.51354,1.69865,2.28417,0.90079,3.21393,0.15316,0.39392,4.30732,2.74801,2.98455,3.15162,3.40165,3.6926,0.94459,0.07034,0.00154,0.0393,0.15143,0.033,0.04718,0.06009,0.0906,0.13216,0.09916,0.0353,0.00114,0.03405,0.12021,0,0,0.03058,0.06457,0.07663,0.07663,6.59836
64,63.77759,3.11241,1.76455,67.73399,61.15398,62.27331,63.69353,65.24093,65.93081,4.77683,15.5273,2.32794,1.53576,18.39,13.259,14.218,15.796,16.7,17.375,4.116,2.16513,0.06759,0.26,2.84446,1.86397,2.02615,2.21098,2.32166,2.40965,0.54567,2.32835,0.00423,0.06544,2.52433,2.25991,2.28196,2.31329,2.37221,2.42357,0.16366,0.01842,0.00061,0.02465,0.08994,0.00399,0.00481,0.007,0.01576,0.06993,0.06594,0.01571,0.00064,0.02543,0.10414,0,0,0,0.02777,0.05859,0.05859,4.38934
65,64.91698,0.8011,0.89522,67.23682,63.64481,64.46407,65.03593,65.45245,65.97856,2.33375,14.38578,0.91177,0.96113,17.93,13.4035,13.822,14.287,14.683,15.544,2.1405,1.67776,0.03254,0.18038,2.1391,1.52988,1.57827,1.65994,1.7716,1.88148,0.35159,2.52405,0.01371,0.11785,3.02607,2.41483,2.45719,2.49955,2.56521,2.64214,0.22731,0.01784,0.0004,0.0199,0.06687,0.00159,0.003,0.00886,0.02235,0.05807,0.05648,0.24353,0.00352,0.05971,0.33574,0.16606,0.23659,0.25403,0.27882,0.31152,0.14546,3.4918
66,64.83905,1.41649,1.19063,68.40165,63.49938,64.11105,64.89083,65.44538,66.34359,2.84421,17.00763,2.10425,1.45999,21.18,15.143,16.22,17.165,17.9,18.605,3.462,2.58839,0.18053,0.42491,4.01637,2.15271,2.30221,2.53673,2.85129,3.07995,0.92724,2.67027,0.06466,0.25593,3.22529,2.31087,2.4708,2.68594,2.82943,3.03272,0.72184,0.03231,0.00062,0.02496,0.09313,0.01077,0.0133,0.01983,0.05558,0.07206,0.06129,0.01298,0.00026,0.01633,0.06605,0,0,0,0.02597,0.032,0.032,4.15574
